ID,Name,Description,Type,Category,Subcategory,Category ID,Subcategory ID,Markup Type,Unit,Default Quantity,PC/PS,Low Limit Pricing Threshold,High Limit Pricing Threshold,Maximum Limit Pricing Threshold,Tax %,Markup,Buy Cost,Use zone default buy cost,Unit Cost,Use zone default unit cost,Description Locked,Markup Locked,Qty Locked,Buy Locked,Unit Locked,Enabled,Archived,Tags
666fc01f-d7f7-4a9d-814b-782331ce2c04,Veneer Ties / Components,"Galvanised brick veneer ties, incl fixings.",Material,Bricklaying,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
92a10452-8963-4514-b704-5f3ca4d7ccd1,"Veneer Ties - Framing Installation, m2","Installation of brick veneer ties to timber framing, per m2.",Labour,Carpentry,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
2c900541-7144-42c9-9cdf-7ca93a20329c,Villaboard - 6mm / Components,"Villaboard 6mm, incl compounds / joint tape / adhesive, external corner if required etc, incl fixings.",Material,Plastering,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Fibrous Cement Products
4aab39a0-08e4-4ad1-9276-70b3ee8d0d7a,Villaboard - Installation,"Installation of new Villaboard, set/sand ready for tiling and or painting above tile lines if required.",Labour,Plastering,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
ba5af1d9-9425-4aa1-9382-9e08cf84d759,Wall Bracing - Metal - Installation,"Installation of metal strap wall bracing, associated to event damage related.",Labour,Carpentry,,,,Percentage,LM,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
90383537-c424-49af-ab45-b26b6e3d118b,Wall Bracing - Sheet board - Installation,"Installation of sheet wall bracing, associated to event damage related.",Labour,Carpentry,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
909b5f15-6431-4c5b-973b-8da3fdccf9ec,Wall Cladding - Fibre Cement 4.5mm / Components,"Fibre cement 4.5mm sheeting material and components, joiner mouldings, fixings.",Material,Carpentry,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Plywood and Board
c02e15c2-57bd-475f-aa46-e33644a68a43,Wall Cladding - Fibre Cement Plank / Components,"Fibre cement plank material, approx 7.5mm and components, joiner mouldings, fixings.",Material,Carpentry,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Plywood and Board
46e0d244-4b5f-4f80-9f05-977a17d1526b,Wall Cladding - Installation,Installation of associated external wall cladding.,Labour,Carpentry,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
ba84c358-aa6e-4f5e-a580-21111a95a9f7,Wall Cladding - Removal,Removal of associated external wall cladding.,Labour,Carpentry,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
7d6b0b4c-e7ec-42a3-ba34-6d08cf1883ee,Wall Cladding - Removal / Installation,Removal and installation of associated wall cladding.,Labour,Carpentry,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
