"ID",Name,Description,Kind,Parent,Ensure Scope Line Item,Type,Category,Subcategory,Category ID,Subcategory ID,Markup Type,Unit,Default Quantity,PC/PS,Low Limit Pricing Threshold,High Limit Pricing Threshold,Maximum Limit Pricing Threshold,Tax %,Markup,Buy Cost,Use zone default buy cost,Unit Cost,Use zone default unit cost,Description Locked,Markup Locked,Qty Locked,Buy Locked,Unit Locked,Enabled,Archived,Tags
85868bc2-f89c-4fc1-add1-d261711b3435,Install cove cornice to match existing,Install cove cornice to match existing,scope,,Install cove cornice to match existing,Other,Plastering,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
56604dbf-21fb-43ee-b574-f232a14d05f6,Adhoc - Roofing Labour,"Add description of new labour line item and choose correct ""Unit Type"".",primitive,93d8a1ca-2cb4-42ab-ad07-88c4954dd573,"Remove, set aside, and reinstate existing",Labour,Roofing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
34ce53ed-40b2-495f-9fa6-8990fcc00d68,Agricultural Shed - Installation,Installation of associated agricultural shed.,primitive,f1b3e731-361b-45e8-af32-c34b55d0373e,Supply and install shed to match existing,Labour,Sheds,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
a48c5b7b-e828-4063-b17d-823146232b0c,Agricultural Shed - Materials / Components,Agricultural shed and components required for installation.,primitive,df980e4a-3487-4b99-a472-5883094f24a7,Shed materials,Material,Sheds,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
d1c28b9a-4b7b-4f63-899d-28bcc7122bed,Agricultural Shed - Removal,"Removal, disconnect, isolation of associated agricultural shed.",primitive,94d71229-31c1-4b77-a18f-251bf201a2a6,Remove and dispose existing shed,Labour,Sheds,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
2fd45097-acc7-4293-9135-43bde28e0b1d,Agricultural Shed - Removal / Installation,Removal and installation of associated agricultural shed.,primitive,35729b35-252c-4d5f-aa65-3472ecc2a831,Remove and replace damaged shed to match existing,Labour,Sheds,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
50b36029-d198-459a-934d-12d6fe0cb6fa,Air Con - Ceiling Register / Vent / Components,Air con ceiling register / vent components.,primitive,358064c6-382c-4939-a472-4296b410c88c,Air con unit/materials,Material,Heating and Cooling,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Heating
5b917920-bbfc-4765-831f-adcb90ea4677,Air Con - Ceiling Register / Vent - Disconnect / Isolate,"Disconnect, put aside, ready for reinstallation associated air con ceiling register / vent.",primitive,de01df04-00fa-4193-a58e-194f4e2c6524,"Remove, set aside, and reinstate existing air con vent/register",Labour,Heating and Cooling,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Heating
88a14146-41a3-4b70-a5b7-dc5ba437fb96,Air Con - Ceiling Register / Vent - Installation,Installation of associated air con ceiling register / vent.,primitive,1cd467eb-dbbc-4c3a-af0d-1131997838f7,Install replacement air con register/vent to match existing,Labour,Heating and Cooling,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
007ccfec-1148-4733-9da6-18c018affee0,Air Con - Ceiling Register / Vent - Removal / Reinstallation,"Removal, put aside and reinstallation of associated air con ceiling register / vent.",primitive,de01df04-00fa-4193-a58e-194f4e2c6524,"Remove, set aside, and reinstate existing air con vent/register",Labour,Heating and Cooling,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
0ab605bf-db74-4024-b47a-e7a4c3679daa,Air Con Cover for AC Outdoor Unit - Materials / Components,Air Con - Material to replace damaged cover / grill components.,primitive,eae4124a-eae6-46e9-a21c-a788260b13a7,Air con grille materials,Material,Heating and Cooling,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
63d0b44a-7e22-4908-a80a-cea63f455ad3,Air Con Cover for AC Outdoor Unit - Removal / Installation,Air Con - Labour rate to replace cover / grill items.,primitive,cccd1698-b2d3-48ac-a5e1-46a546956a5f,Remove and replace air con cover/grille to match existing,Labour,Heating and Cooling,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
5bd61d16-897d-4f2d-9e8d-35f7221c4522,Architrave - Installation ,Installation of associated architraves.,primitive,98c0b2ea-6391-4e19-a73a-86a20dce4f8d,Supply and install new architraves to match existing,Labour,Carpentry,,,,Percentage,LM,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Structural Timber
97b4774c-1205-47a0-897b-d7413b9c8e4f,Architrave - Removal ,Removal of associated architraves to assist with repairs.,primitive,e2a8196b-6cac-436f-a734-ec5f683a71e6,Remove damaged architraves and dispose,Labour,Carpentry,,,,Percentage,LM,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
e8338084-0030-4bce-a3b8-2e9e0338ee2a,Architrave - Removal / Installation ,Removal and installation of associated architraves.,primitive,33ec90ba-d74c-498d-af16-e18649a9fad2,Remove and replace damaged architraves to match existing,Labour,Carpentry,,,,Percentage,LM,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Structural Timber
e696bdcd-0eb9-435f-858c-1b72702986d6,Asbestos Corrugated Roofing - Removal / Disposal,"Remove and dispose of asbestos roofing, following regulations, guidelines set out within, jurisdiction, state, territory etc.",primitive,308b6e33-41b1-443d-a41b-eab86909c2a2,"Remove and dispose of asbestos roofing, following regulations and guidelines",Labour,Asbestos,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
f27bfb55-4058-4c02-89a6-8c094d0296ae,Asbestos Linings - Removal / Disposal,"Remove and dispose of asbestos linings, following regulations, guidelines set out within local jurisdiction, state etc.",primitive,81310b23-885e-4bae-a967-efaca03afd42,"Remove and dispose of asbestos linings, following current regulations and guidelines",Labour,Asbestos,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
e1912788-b3b7-4003-9f7c-cc40dd06e8d8,Cooktop Electric - Removal,"Removal, isolate, put aside of associated electric cooktop for reinstallation or disposal if event damage related.",primitive,c5018db6-1974-46c9-a9c2-e5bfd3b360fb,"Removal, isolate, put aside electric cooktop for reinstallation",Labour,Electrical,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
6cd5ff4d-e600-4e32-9c3d-44fd866cfc5c,Cooktop Electric - Removal / Installation,Removal and installation of associated electric cooktop.,primitive,68a65d82-a3fc-4e65-a93a-3fa3913d8114,Removae and replace damaged electric cooktop.,Labour,Electrical,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
e3f28b8d-3216-419b-be45-0118022a273b,Cooktop - Gas,"Cooktop, nominate type, brand, model, colour, size etc.",primitive,9b16f0d7-6baa-4a59-a0d2-7e1c6dc02986,materials cooktop,Material,Plumbing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Appliances
82cd14ab-4c58-4f9b-ac73-5fb1fe9c1d55,Cooktop Gas - Installation ,Installation of associated gas cooktop.,primitive,eb86d42a-bafe-4568-a78b-e7e920280ff1,Installation of associated gas cooktop to match exiting,Labour,Plumbing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
d193aa54-1ebd-423b-ae52-ef38c0bdc6fc,Cooktop Gas - Reinstallation,Reinstallation of existing associated gas cooktop.,primitive,20433064-bfbb-468e-aeae-46d0dc1481ca,Reinstallation of existing gas cooktop.,Labour,Plumbing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
9b1a72c0-f53c-4ba6-8b0e-4dab8d789952,Cooktop Gas - Removal,"Removal, isolate, put aside of associated gas cooktop for reinstallation or disposal if event damage related.",primitive,ec2040fd-2961-4bfb-a5ec-9421f42e7792,"Removal, isolate, put aside gas cooktop for reinstallation",Labour,Plumbing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
e6b56d46-cff2-48b8-abba-875f8744c8fc,Cooktop Gas - Removal / Installation,Removal and installation of associated gas cooktop.,primitive,ed67f1d1-edb6-42b6-a91a-585e2c6cc868,Remove and replace damaged gas cooktop to match existing,Labour,Plumbing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Appliances
2dc469a3-4fea-466d-aae7-8101efd5c82d,Cornice Cove / Components ,"Cornice cove material, incl adhesive cement, fixings.",primitive,eb156712-7b5c-4550-a358-961d08c6b7b2,Materials cornice fixings etc,Material,Plastering,,,,Percentage,LM,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Plaster Products
a73e0b96-7a9b-454f-9800-cc689248ab55,Cornice Cove - Installation,"Installation of associated cove cornice, set/sand ready for painting.",primitive,85868bc2-f89c-4fc1-add1-d261711b3435,Install cove cornice to match existing,Labour,Plastering,,,,Percentage,LM,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
